file_id,true_label,held_out_load,nearest_class,true_class_distance,nearest_other_distance,distance_margin,distance_N,distance_B,distance_IR,distance_OR
B007_0,B,0,OR,7.196049566840103,5.52827960362431,-1.6677699632157932,10.08192957678761,7.196049566840103,5.9456643893640795,5.52827960362431
B014_0,B,0,B,5.511310485739281,8.34212115317113,2.830810667431849,13.154359040781591,5.511310485739281,8.34212115317113,8.672922293540486
B021_0,B,0,IR,6.313344420514008,4.1797182770938335,-2.133626143420175,11.653440164600205,6.313344420514008,4.1797182770938335,5.145355495507877
IR007_0,IR,0,IR,6.304296411708816,7.268559236245295,0.9642628245364788,10.485583077742588,9.886270923982412,6.304296411708816,7.268559236245295
IR014_0,IR,0,OR,4.6454905830231175,3.8870788198254735,-0.7584117631976439,12.207925497909146,6.994214529193909,4.6454905830231175,3.8870788198254735
IR021_0,IR,0,IR,4.252443457582511,4.744331288323691,0.49188783074118003,12.46842396450324,8.02219407073729,4.252443457582511,4.744331288323691
OR007@6_0,OR,0,OR,6.265637828080436,7.979449082591772,1.7138112545113362,14.431724117594324,11.737397190461648,7.979449082591772,6.265637828080436
OR014@6_0,OR,0,B,6.400098314228685,4.373558497480534,-2.0265398167481505,11.253815275621436,4.373558497480534,6.483912327501049,6.400098314228685
OR021@6_0,OR,0,OR,5.316688328389027,7.015164580374964,1.6984762519859364,13.788304518733403,8.504383367438232,7.015164580374964,5.316688328389027
OR007@12_0,OR,0,OR,3.7583805785599256,4.990047779254865,1.2316672006949392,11.40870228186695,6.703318260911033,4.990047779254865,3.7583805785599256
OR021@12_0,OR,0,OR,6.047550631197233,7.41135925808122,1.363808626883987,14.973812093654798,10.578212350845925,7.41135925808122,6.047550631197233
OR007@3_0,OR,0,OR,3.6023409297305378,5.031939818700995,1.4295988889704576,11.59789063874069,8.66603076289524,5.031939818700995,3.6023409297305378
OR021@3_0,OR,0,OR,4.607223013503608,5.303949306096407,0.6967262925927988,10.878484406415721,8.038927070369628,5.303949306096407,4.607223013503608
N_0,N,0,N,8.799170397750105,13.801184320084934,5.002013922334829,8.799170397750105,14.570935495752279,13.801184320084934,14.438771955686368
B007_1,B,1,IR,6.54269525883923,6.035116301784059,-0.5075789570551716,10.785280068742878,6.54269525883923,6.035116301784059,6.166425795453027
B014_1,B,1,B,6.241811581775256,10.410713546507397,4.168901964732141,14.343872372933495,6.241811581775256,10.551529763903389,10.410713546507397
B021_1,B,1,B,6.249829635562072,9.936477930533886,3.686648294971814,15.795297310470016,6.249829635562072,9.936477930533886,9.968241751867486
IR007_1,IR,1,IR,5.4730518914501705,7.031009717951221,1.5579578265010507,10.579964308537969,9.004420677871797,5.4730518914501705,7.031009717951221
IR014_1,IR,1,OR,4.984962211314986,4.421587182549758,-0.5633750287652282,13.599215297068245,7.348765373156962,4.984962211314986,4.421587182549758
IR021_1,IR,1,IR,3.7085299594508103,4.07083853684397,0.36230857739316,12.380075444130803,7.166380252381979,3.7085299594508103,4.07083853684397
OR007@6_1,OR,1,OR,5.544921349721284,7.230998279603694,1.6860769298824092,13.43595005548222,10.707093086239624,7.230998279603694,5.544921349721284
OR014@6_1,OR,1,IR,5.470874377789178,5.46995155597316,-0.0009228218160179935,10.385694869924038,6.683142985413841,5.46995155597316,5.470874377789178
OR021@6_1,OR,1,OR,5.408893734308068,7.24209565126287,1.8332019169548026,13.556477522605421,8.508500920302755,7.24209565126287,5.408893734308068
OR007@12_1,OR,1,OR,2.5523490376801874,3.7586075200855187,1.2062584824053313,11.979250371713603,6.709613280179033,3.7586075200855187,2.5523490376801874
OR021@12_1,OR,1,OR,5.575190657493088,7.1633521927230674,1.5881615352299798,14.416170513471958,9.793712311779576,7.1633521927230674,5.575190657493088
OR007@3_1,OR,1,OR,3.6783550923174437,4.8154453025191994,1.1370902102017557,11.47736408947126,8.241420035910213,4.8154453025191994,3.6783550923174437
OR021@3_1,OR,1,OR,3.2221039223215593,4.206558117934334,0.9844541956127744,11.764964095155845,7.0059222465479465,4.206558117934334,3.2221039223215593
N_1_(1772rpm),N,1,N,3.461442495689672,11.335034898420444,7.873592402730772,3.461442495689672,12.293490775428202,11.335034898420444,11.70584061189433
B007_2,B,2,IR,6.170379725290934,5.2494479719518905,-0.9209317533390431,10.160265592522519,6.170379725290934,5.2494479719518905,5.698714148050449
B014_2,B,2,B,10.957672028590151,14.977011123743011,4.01933909515286,18.211808333743495,10.957672028590151,14.977011123743011,15.004165426456327
B021_2,B,2,B,8.168296426795692,12.170861201730649,4.002564774934957,17.90348859234258,8.168296426795692,12.170861201730649,12.336543932940788
IR007_2,IR,2,IR,5.862560211970002,7.195139915513625,1.3325797035436233,10.37330143123893,9.40730312759033,5.862560211970002,7.195139915513625
IR014_2,IR,2,OR,5.186624687288646,4.546490150412565,-0.6401345368760802,13.604284136830968,7.646575399511846,5.186624687288646,4.546490150412565
IR021_2,IR,2,OR,6.010250380718637,5.937364430072143,-0.07288595064649428,13.150711949587798,9.28632753312093,6.010250380718637,5.937364430072143
OR007@6_2,OR,2,OR,5.235843783938812,7.233657736771013,1.9978139528322014,13.373328680013786,10.681719967032228,7.233657736771013,5.235843783938812
OR014@6_2,OR,2,B,10.873589306517484,6.297457695498955,-4.576131611018529,14.669819548823497,6.297457695498955,10.655898553371678,10.873589306517484
OR021@6_2,OR,2,OR,6.671896251606103,8.387333196940231,1.7154369453341278,14.273616681393806,9.097336886568707,8.387333196940231,6.671896251606103
OR007@12_2,OR,2,OR,2.3397370273138347,3.8522043000006128,1.512467272686778,11.984451134759558,6.906500310148377,3.8522043000006128,2.3397370273138347
OR021@12_2,OR,2,OR,5.2655406850214685,7.026676015198128,1.7611353301766597,14.11125752348897,9.249119582664632,7.026676015198128,5.2655406850214685
OR007@3_2,OR,2,OR,3.690622483225282,5.11572674682142,1.4251042635961384,11.747470300092495,8.766566053499805,5.11572674682142,3.690622483225282
OR021@3_2,OR,2,OR,3.227058141378656,4.194643542418237,0.9675854010395808,11.70028629122428,7.0973161137842,4.194643542418237,3.227058141378656
N_2_(1750rpm),N,2,N,2.9886943348344674,11.834772529411408,8.84607819457694,2.9886943348344674,12.987598566007662,11.834772529411408,12.015017317935685
B007_3,B,3,IR,7.095081957202713,6.718954663733944,-0.3761272934687687,11.548970787637975,7.095081957202713,6.718954663733944,7.285440115963338
