held_out_load,label,feature,n_train_files,n_test_files,train_class_mean,test_class_mean,train_overall_sd,standardized_shift
0,N,amp_rms,3,1,0.06432954549162233,0.07268647222147322,0.26410802629053054,0.03164207785437728
0,N,amp_peak,3,1,0.25921946415231095,0.2654072481730199,1.7274141124364668,0.0035821080632375273
0,N,shape_skew,3,1,-0.1563191673465307,-0.035508740500568986,0.12793577373104106,0.9443052816481265
0,N,shape_kurtosis,3,1,2.9326420020688495,2.759090536943643,6.442401418772115,-0.026938939976559936
0,N,shape_crest,3,1,4.054892550919131,3.657715871389367,2.1932863935480365,-0.18108746796502917
0,N,zcr,3,1,0.27657870285594144,0.24750588346999258,0.030203081173879737,-0.9625779309924063
0,N,psd_centroid,3,1,3453.512010855893,3470.741462337793,262.10436269161244,0.06573508088521172
0,N,psd_bandwidth,3,1,2880.628753400409,1920.4610426935287,621.3381586011884,-1.5453222973919631
0,N,psd_entropy,3,1,0.6228805483119,0.5475685618196856,0.05614009187206767,-1.3415009484458222
0,N,psd_peak_ratio,3,1,0.12893087621430116,0.2135163532527226,0.03962919046190502,2.1344235411453147
0,N,env_rms,3,1,1.4067938634724595,1.3713787724115352,0.8195308606560924,-0.04321385900290814
0,N,env_kurtosis,3,1,3.1386760942784435,2.884278859710878,7.091372002716374,-0.035874191125513884
0,N,env_entropy,3,1,0.8230138422551091,0.7331773452165473,0.1078005193783186,-0.833358666142291
0,N,env_peak_ratio,3,1,0.03611899801643314,0.09794550245983281,0.062241585023604,0.9933311373730775
0,N,psd_0_500,3,1,0.20889851846023288,0.08447604937177876,0.05586552782594746,-2.227177902553791
0,N,env_0_500,3,1,0.1773804966217479,0.3314557534761715,0.1929316213044026,0.7986003321421716
0,N,psd_500_1000,3,1,0.1261802976695348,0.11543430269584369,0.031138930462104912,-0.34509839658008346
0,N,env_500_1000,3,1,0.0601610738462536,0.05254614947306857,0.06741033830609985,-0.11296374657855654
0,N,psd_1000_2000,3,1,0.06891257572287866,0.04928894187763943,0.045654645811810196,-0.4298277534805206
0,N,env_1000_2000,3,1,0.0918117788481434,0.10253555678981353,0.06429935765641501,0.16677892801002572
0,N,env_2000_4000,3,1,0.28540866637295004,0.364397382882667,0.07217889611129387,1.0943464193179528
