file_id,file_path,domain,branch,label,sampling_rate,signal_variable,all_variables,rpm,signal_length,status
B007_0,数据集/数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,source,12k_DE,B,12000,X118_DE_time,X118_DE_time;X118_FE_time;X118_BA_time;X118RPM,1796.0,96000,ok
B007_1,数据集/数据集/源域数据集/12kHz_DE_data/B/0007/B007_1.mat,source,12k_DE,B,12000,X119_DE_time,X119_DE_time;X119_FE_time;X119_BA_time;X119RPM,1772.0,96000,ok
B007_2,数据集/数据集/源域数据集/12kHz_DE_data/B/0007/B007_2.mat,source,12k_DE,B,12000,X120_DE_time,X120_DE_time;X120_FE_time;X120_BA_time;X120RPM,1748.0,96000,ok
B007_3,数据集/数据集/源域数据集/12kHz_DE_data/B/0007/B007_3.mat,source,12k_DE,B,12000,X121_DE_time,X121_DE_time;X121_FE_time;X121_BA_time;X121RPM,1722.0,96000,ok
B014_0,数据集/数据集/源域数据集/12kHz_DE_data/B/0014/B014_0.mat,source,12k_DE,B,12000,X185_DE_time,X185_DE_time;X185_FE_time;X185_BA_time;X185RPM,1796.0,96000,ok
B014_1,数据集/数据集/源域数据集/12kHz_DE_data/B/0014/B014_1.mat,source,12k_DE,B,12000,X186_DE_time,X186_DE_time;X186_FE_time;X186_BA_time;X186RPM,1772.0,96000,ok
B014_2,数据集/数据集/源域数据集/12kHz_DE_data/B/0014/B014_2.mat,source,12k_DE,B,12000,X187_DE_time,X187_DE_time;X187_FE_time;X187_BA_time;X187RPM,1749.0,96000,ok
B014_3,数据集/数据集/源域数据集/12kHz_DE_data/B/0014/B014_3.mat,source,12k_DE,B,12000,X188_DE_time,X188_DE_time;X188_FE_time;X188_BA_time;X188RPM,1724.0,96000,ok
B021_0,数据集/数据集/源域数据集/12kHz_DE_data/B/0021/B021_0.mat,source,12k_DE,B,12000,X222_DE_time,X222_DE_time;X222_FE_time;X222_BA_time;X222RPM,1796.0,96000,ok
B021_1,数据集/数据集/源域数据集/12kHz_DE_data/B/0021/B021_1.mat,source,12k_DE,B,12000,X223_DE_time,X223_DE_time;X223_FE_time;X223_BA_time;X223RPM,1774.0,96000,ok
B021_2,数据集/数据集/源域数据集/12kHz_DE_data/B/0021/B021_2.mat,source,12k_DE,B,12000,X224_DE_time,X224_DE_time;X224_FE_time;X224_BA_time;X224RPM,1754.0,96000,ok
B021_3,数据集/数据集/源域数据集/12kHz_DE_data/B/0021/B021_3.mat,source,12k_DE,B,12000,X225_DE_time,X225_DE_time;X225_FE_time;X225_BA_time;X225RPM,1729.0,96000,ok
B028_0_(1797rpm),数据集/数据集/源域数据集/12kHz_DE_data/B/0028/B028_0_(1797rpm).mat,source,12k_DE,B,12000,X048_DE_time,X048_DE_time,1797.0,96000,ok
B028_1_(1772rpm),数据集/数据集/源域数据集/12kHz_DE_data/B/0028/B028_1_(1772rpm).mat,source,12k_DE,B,12000,X049_DE_time,X049_DE_time,1772.0,96000,ok
B028_2_(1750rpm),数据集/数据集/源域数据集/12kHz_DE_data/B/0028/B028_2_(1750rpm).mat,source,12k_DE,B,12000,X050_DE_time,X050_DE_time,1750.0,96000,ok
B028_3_(1730rpm),数据集/数据集/源域数据集/12kHz_DE_data/B/0028/B028_3_(1730rpm).mat,source,12k_DE,B,12000,X051_DE_time,X051_DE_time,1730.0,96000,ok
IR007_0,数据集/数据集/源域数据集/12kHz_DE_data/IR/0007/IR007_0.mat,source,12k_DE,IR,12000,X105_DE_time,X105_DE_time;X105_FE_time;X105_BA_time;X105RPM,1797.0,96000,ok
IR007_1,数据集/数据集/源域数据集/12kHz_DE_data/IR/0007/IR007_1.mat,source,12k_DE,IR,12000,X106_DE_time,X106_DE_time;X106_FE_time;X106_BA_time;X106RPM,1772.0,96000,ok
