file_id,method,predicted_label,confidence,window_vote_ratio,normalized_entropy,probability_margin,window_probability_std,prob_N,prob_B,prob_IR,prob_OR,epsilon
A,coral,IR,0.4260244890061658,1.0,0.9060491063236125,0.1287193699398268,0.016703423221142325,0.09266648655090298,0.18400390537659214,0.4260244890061658,0.297305119066339,1e-05
B,coral,OR,0.3623221979105704,1.0,0.9661700047899565,0.08121644784350818,0.007218188499026993,0.17589622515296968,0.1806758268693977,0.28110575006706223,0.3623221979105704,1e-05
C,coral,B,0.4992967684444109,1.0,0.7989173191277409,0.25089581140106265,0.05645560407637038,0.018975698811528625,0.4992967684444109,0.24840095704334825,0.23332657570071222,1e-05
D,coral,OR,0.37981726395240756,1.0,0.9423673701159688,0.08093614647924868,0.0014445657574707843,0.2988811174731589,0.12125944979659334,0.20004216877784006,0.37981726395240756,1e-05
E,coral,B,0.692634402885685,1.0,0.6114119282346376,0.5237555776019824,0.10309207415068013,0.004274716505371565,0.692634402885685,0.16887882528370252,0.134212055325241,1e-05
F,coral,OR,0.3716123405475505,1.0,0.9494225377547952,0.08799319707233022,0.0018136156647100329,0.28361914347522027,0.12159292131747648,0.22317559465975273,0.3716123405475505,1e-05
G,coral,OR,0.3623704095640439,1.0,0.9673043962718257,0.08585017921090049,0.0043624593789952084,0.1895352655321821,0.17157409455063047,0.27652023035314344,0.3623704095640439,1e-05
H,coral,IR,0.3784903276237497,1.0,0.9356730655328298,0.05133181763086431,0.0064734698569050885,0.15205792741544805,0.14229323496791696,0.3784903276237497,0.32715850999288537,1e-05
I,coral,OR,0.32654356496941167,0.5333333333333333,0.9145155194056055,0.008756081935031468,0.014074934173975722,0.06581140876189343,0.3177874830343802,0.2898575432343147,0.32654356496941167,1e-05
J,coral,B,0.661214408308089,1.0,0.654707664914566,0.4834323712314239,0.06000829680287026,0.008398082579692236,0.661214408308089,0.15260547203555366,0.1777820370766651,1e-05
K,coral,IR,0.49293652378915065,1.0,0.8668086009580457,0.22336027339599596,0.017264866989755975,0.09116795171980906,0.14631927409788564,0.49293652378915065,0.2695762503931547,1e-05
L,coral,OR,0.36611237472092667,1.0,0.9595619290254708,0.11521526893352041,0.002066304840712768,0.25089710578740626,0.1338892383718023,0.24910128111986457,0.36611237472092667,1e-05
M,coral,IR,0.4876179943283602,1.0,0.8718182829341053,0.21236198961923325,0.013605056487496691,0.10192324661375166,0.13520275434876114,0.4876179943283602,0.275256004709127,1e-05
N,coral,B,0.49879818252763325,0.9333333333333333,0.8141306519233006,0.24434057178508906,0.13182040854213956,0.028416872558231072,0.49879818252763325,0.21832733417159159,0.2544576107425442,1e-05
O,coral,OR,0.3665448949992468,1.0,0.9692966558267764,0.10378326220345607,0.004606877554372538,0.18019172464926125,0.19050174755570123,0.26276163279579073,0.3665448949992468,1e-05
P,coral,OR,0.37884350389178273,1.0,0.9419691235852649,0.07776370986707698,0.0015538937857132158,0.30107979402470575,0.12069633032578901,0.1993803717577226,0.37884350389178273,1e-05
A,coral,IR,0.4260870935350272,1.0,0.9060730378388593,0.12888093180681165,0.016721284742964554,0.09272231292875519,0.18398443180800186,0.4260870935350272,0.29720616172821557,0.0001
B,coral,OR,0.3622782749254657,1.0,0.9662138319485948,0.08123621965009037,0.00722320432776675,0.17597339796280018,0.1807062718363589,0.28104205527537535,0.3622782749254657,0.0001
C,coral,B,0.4993653842991813,1.0,0.7988987193394248,0.2510254013779919,0.0564568444664176,0.018984710625353233,0.4993653842991813,0.2483399829211894,0.23330992215427615,0.0001
D,coral,OR,0.3798091287156645,1.0,0.94235335729875,0.08083385139236948,0.0014476111585073133,0.29897527732329504,0.1212858470235305,0.19992974693751,0.3798091287156645,0.0001
E,coral,B,0.6926238844857309,1.0,0.611434209289987,0.5237583048848837,0.10309358597452803,0.004277787995983695,0.6926238844857309,0.1688655796008471,0.13423274791743842,0.0001
F,coral,OR,0.3715861202664817,1.0,0.949425150693615,0.08786449490369824,0.001816745912228249,0.28372162536278345,0.12161739042313766,0.22307486394759748,0.3715861202664817,0.0001
G,coral,OR,0.36232357075299965,1.0,0.9673470517375424,0.08587100602106212,0.004367708948211691,0.18961711263893805,0.1716067518761247,0.2764525647319375,0.36232357075299965,0.0001
H,coral,IR,0.378513087753376,1.0,0.9357158828519642,0.05145916134489187,0.006478049759015262,0.15213941827645042,0.1422935675616896,0.378513087753376,0.32705392640848413,0.0001
