0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1.7716496,0.5084699,-1.4917858,2.2714245,0.68663573,0.57655346,-1.2062995,-0.76994586,1.8646748,-0.68680435,0.9529797,-1.0863379,-1.3395331,1.841724,1.126711,1.0978905,1.62081,-0.430399,-0.47927177,-1.989406,-1.7171458,-1.3442019,-1.7972945,-1.0606451,-1.4249516,1.2529501,1.3591584,-1.4002548,0.71353924,0.030079216,-0.44789857,0.9502837
1.7954093,0.038499013,-1.5676609,2.0221298,0.6455864,0.5641111,-1.219253,-0.9407939,1.6774888,-0.3767931,0.9766705,-0.807101,-1.1640077,1.8692647,0.81036365,1.117858,1.5891645,-0.37213877,-0.08282584,-1.9024156,-1.7585443,-1.0817412,-1.8487396,-1.2201434,-1.1584336,1.5644782,1.0669789,-1.5578156,0.9564501,0.057367574,-0.44792986,0.5871034
1.7418654,0.22161403,-1.4598244,2.0041597,0.5686027,0.5156014,-1.2120539,-0.82273537,1.6977775,-0.45374313,0.95111054,-0.9138268,-1.1543411,1.7577368,0.7992183,1.0599139,1.5940897,-0.4445054,-0.16360644,-1.8606867,-1.6662811,-1.1271769,-1.8436543,-1.2023451,-1.2187076,1.4021821,1.1011087,-1.4630681,0.7816436,0.053584483,-0.45368394,0.74054044
1.7917018,-0.34709588,-1.6261708,1.8885564,0.66243935,0.6888838,-1.2309909,-1.0368807,1.5874767,-0.1920852,1.0973425,-0.6189718,-1.0465236,1.9559667,0.65784013,1.1495467,1.6060876,-0.2827531,0.21165994,-1.8007423,-1.7798675,-0.88306636,-1.8565674,-1.3096043,-0.98503125,1.8168415,0.83694917,-1.6849183,1.2108904,0.06782042,-0.45025116,0.26020497
1.7622647,-0.5669574,-1.6354749,1.8045408,0.69724,0.72858995,-1.2235421,-1.1293714,1.4730194,-0.12499872,1.1477733,-0.50710106,-0.9767464,1.9718616,0.58652556,1.1440123,1.6214457,-0.25961745,0.3576536,-1.7226164,-1.8268206,-0.7175693,-1.8421094,-1.3419632,-0.83459073,1.9530427,0.66179013,-1.7745826,1.3665345,0.06256627,-0.4063841,0.05925705
1.7021956,0.3418089,-1.4668456,2.2015579,0.67400646,0.6474838,-1.2104394,-0.78384453,1.8466902,-0.71448207,0.9611639,-1.0569332,-1.2917812,1.8411402,1.0425171,1.0838501,1.6727017,-0.47466233,-0.37624335,-1.8998065,-1.7123882,-1.201847,-1.8180943,-1.0961276,-1.3434461,1.3245274,1.2087137,-1.4723197,0.7867957,0.037481885,-0.44926274,0.8089836
1.6850333,0.23776627,-1.4798492,2.1310883,0.63606143,0.6043688,-1.2537833,-0.8391341,1.7730333,-0.6904638,1.0173284,-1.0298332,-1.256529,1.8554745,0.9913293,1.0888548,1.6694466,-0.49124846,-0.28736588,-1.8502525,-1.7184919,-1.1144768,-1.8960501,-1.1681534,-1.2438266,1.3996611,1.0805036,-1.4883862,0.8145244,0.09352521,-0.46855402,0.751541
1.6938359,0.3291836,-1.4791933,2.180953,0.5709107,0.61009824,-1.2872822,-0.791913,1.840441,-0.71065927,1.0326412,-1.075311,-1.2505034,1.8115133,1.055833,1.062247,1.6727103,-0.48024938,-0.27787644,-1.9011866,-1.7087098,-1.1967963,-1.9103668,-1.1536089,-1.303404,1.343797,1.1739225,-1.4868083,0.77672035,0.040138714,-0.40984616,0.85957205
1.6519876,0.6292727,-1.4015288,2.2446604,0.54696965,0.49452817,-1.2724183,-0.6831109,1.8819381,-0.7334625,0.9587483,-1.2033687,-1.3100381,1.741642,1.0967941,0.9947647,1.6586717,-0.551628,-0.50457615,-1.9413394,-1.5938435,-1.3562382,-1.8766394,-1.0746094,-1.4353173,1.1155765,1.3354559,-1.3465204,0.55058306,0.033393126,-0.4386825,1.071887
1.7048821,0.1619,-1.5440557,2.1482368,0.59383273,0.60309863,-1.3126296,-0.83348984,1.8071911,-0.5018779,1.0503756,-0.9944451,-1.2261682,1.9222968,0.9433428,1.1025294,1.6332824,-0.42203867,-0.15493968,-1.8978382,-1.7118248,-1.1683781,-1.913102,-1.2097446,-1.2454475,1.4527336,1.1487762,-1.5230405,0.9012634,0.069834135,-0.43180883,0.6583148
