0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2.3895512,-2.184124,-2.0875888,2.1605535,0.0026611865,1.3765775,-0.7214676,-1.8092222,0.051487304,0.9876593,1.9618435,0.90310305,-0.34235007,1.3958117,-1.44924,1.4201167,3.127124,0.45257157,1.4279335,-1.5482912,-1.8996643,1.379063,-1.5976543,-2.3175187,1.5678046,3.0147781,-1.2812759,-2.9996343,2.5084655,0.90987766,-0.49200684,-2.3802762
2.3771024,-2.2354558,-2.0956767,2.1360364,-0.017358398,1.3675466,-0.7175422,-1.8353668,0.012025356,1.0124686,1.9688276,0.94040805,-0.31712565,1.3684007,-1.4803364,1.3961599,3.116934,0.46677065,1.4713463,-1.5354873,-1.8914692,1.4311194,-1.5967113,-2.3369782,1.6112702,3.0507317,-1.3275961,-3.0216641,2.5479045,0.93350303,-0.518135,-2.4265347
2.347427,-2.3023913,-2.0882757,2.0796423,-0.043551367,1.3543762,-0.7082388,-1.8614172,-0.050724458,1.0548317,1.978117,0.9886262,-0.2716798,1.3243786,-1.5265477,1.3567613,3.0859363,0.49021545,1.5392349,-1.4921299,-1.8728521,1.5000095,-1.5831573,-2.3541238,1.6828306,3.0829132,-1.3851154,-3.0405107,2.594338,0.9615308,-0.545122,-2.4870896
2.3704689,-2.2617908,-2.0934308,2.1173217,-0.020606767,1.3704038,-0.7123965,-1.8489857,-0.010997009,1.0318602,1.9751518,0.9572679,-0.30170727,1.3589896,-1.4938424,1.3870406,3.1066833,0.47682744,1.4977129,-1.5204167,-1.8957517,1.4556916,-1.5899314,-2.336657,1.6407627,3.06694,-1.3451517,-3.026855,2.568173,0.940077,-0.524371,-2.4465213
2.395614,-2.1888783,-2.0812237,2.1500833,0.01773947,1.3877792,-0.7032431,-1.8240999,0.03505869,1.0063988,1.9609356,0.919438,-0.33015028,1.3970844,-1.4540559,1.4322991,3.1157978,0.4657166,1.4529727,-1.5461895,-1.9176719,1.3913448,-1.581448,-2.3135688,1.5849435,3.031526,-1.2843605,-2.9995093,2.5340357,0.90031767,-0.48245472,-2.3876023
2.3743124,-2.2047954,-2.0592506,2.106277,0.005094004,1.3838413,-0.6839037,-1.8295803,0.002457428,1.0242205,1.9515501,0.9439948,-0.30325085,1.3680328,-1.4760844,1.4223261,3.0902228,0.48181504,1.4847332,-1.5172364,-1.8996458,1.4244518,-1.5596224,-2.3093555,1.6234022,3.0306468,-1.3127978,-2.9921908,2.549371,0.90706146,-0.4847966,-2.403738
2.3808844,-2.2149944,-2.0644786,2.1084924,0.0047855377,1.391502,-0.6871866,-1.8417466,0.002493906,1.028434,1.95611,0.95335215,-0.30815426,1.3717492,-1.4775407,1.4217896,3.0931501,0.48174453,1.4874882,-1.519654,-1.9066048,1.4303236,-1.5630262,-2.306334,1.6261755,3.0435767,-1.3212343,-2.9974113,2.5583758,0.9066328,-0.48412007,-2.4106872
2.3865669,-2.1812053,-2.0479603,2.10304,0.023674453,1.4036015,-0.6709314,-1.832127,0.009102201,1.0372716,1.9426544,0.9525193,-0.30734974,1.3790781,-1.4675238,1.4437408,3.081801,0.484018,1.4791034,-1.5162294,-1.9126613,1.4100212,-1.5506318,-2.2863941,1.6146625,3.030205,-1.3003794,-2.9781108,2.552026,0.8826879,-0.45405707,-2.38284
2.3537312,-2.3139412,-2.1388767,2.1489968,-0.07744406,1.326163,-0.77060014,-1.8596404,-0.01604023,0.9898135,1.9965435,0.94923097,-0.30969006,1.3306146,-1.5053307,1.3245529,3.1413534,0.46190882,1.4828118,-1.5407645,-1.84438,1.4854944,-1.6466382,-2.3918233,1.640035,3.0824401,-1.3841711,-3.0832534,2.5632567,0.9912165,-0.5889813,-2.4856563
2.294397,-2.3785896,-2.114211,2.067308,-0.11591171,1.2994149,-0.74145645,-1.8749039,-0.106758974,1.0297501,1.9910177,0.99179345,-0.2522781,1.2601035,-1.565526,1.274059,3.095429,0.49169087,1.5607849,-1.484112,-1.807229,1.5785806,-1.611008,-2.415485,1.7239864,3.0948925,-1.4573863,-3.0784183,2.6010098,1.0301797,-0.6320236,-2.5546489
